session_year,bill_number,bill_title,jason_anavitarte_vote,category,what_the_bill_did,who_benefits,estimated_public_cost,political_campaign_takeaway,source_url,confidence_level
2021-2022 Regular,HB 1291,Sales and use tax; exemption for sale or lease of computer equipment of high-technology companies; revise spending threshold and extend sunset date,Yea,Data centers / high-technology exemptions,"Extended and broadened Georgia's sales-tax break for high-technology company computer equipment and high-technology data center equipment. The bill moved one sunset from June 30, 2023 to December 31, 2028, extended the separate data-center exemption into 2031, and set lower county-based thresholds that could be met with as few as 5 new quality jobs and $25 million in investment in smaller counties.","Data centers, cloud/computing operators, large server and storage facilities, and other qualifying high-technology companies.","Available. A 2025 DOAA summary estimated $474.2 million in forgone state revenue in FY 2025 from the data-center sales-and-use-tax exemption program, plus local tax abatements on some projects.","Strongest data-center hit. Anavitarte voted to extend a giant tax break that can be triggered in smaller counties with very few permanent jobs, while local communities can still be asked to absorb infrastructure and tax-base pressure.",https://www.legis.ga.gov/legislation/61909 | https://www.audits2.ga.gov/wp-content/uploads/2025/12/Data-Center-Tax-Exemption-Summary-Revised.pdf,High
2023-2024 Regular,HB 408,Sales and use tax; exemption for competitive projects of regional significance; change sunset provision,Yea,Other business-friendly revenue reductions,"Extended the sales-and-use-tax exemption on construction materials used in a competitive project of regional significance from June 30, 2023 to December 31, 2026.","Large business expansion or relocation projects that win state certification as a “competitive project of regional significance,” plus their contractors and suppliers.",No clear bill-specific fiscal estimate found in public sources reviewed.,Useful mega-project talking point: Anavitarte voted to keep a construction-materials tax break alive for hand-picked large projects rather than broad relief for ordinary taxpayers.,https://www.legis.ga.gov/legislation/64367 | https://gov.georgia.gov/document/2023-signed-legislation/hb-408/download | https://rules.sos.ga.gov/gac/159-3-1,High
2021-2022 Regular,HB 328,Public utilities; one-time right of way permit fee and reduce annual right of way use fees; establish,Yea,Local or special-interest tax breaks,Created a one-time permit fee structure and reduced annual right-of-way use fees owed to municipal authorities by certain telephone companies that use public rights-of-way but do not serve retail end users inside the city.,"Telephone, fiber, and communications infrastructure companies using city rights-of-way.",No statewide public estimate found. The practical effect is a reduction in revenue flowing to municipalities from these companies.,"Strong local-taxpayer message. He voted to lower what certain telecom companies pay cities for using public rights-of-way, which can leave local governments to make up the difference elsewhere.",https://www.legis.ga.gov/legislation/59393,High
2021-2022 Regular,HB 1053,Income tax; certain expenditures made by postproduction companies; extend tax credit,Yea,Film / entertainment tax credits,Extended the state income tax credit for certain expenditures made by postproduction companies working on eligible productions in Georgia.,"Postproduction houses, editing and sound facilities, and production companies using Georgia postproduction vendors.","No separate bill-specific estimate found. For context, a 2023 DOAA-commissioned evaluation projected the broader Georgia film tax credit at $1.188 billion in FY 2026, and most of the film credit system has no overall annual cap.","Good film-credit message if framed carefully: Anavitarte voted to prolong another slice of Georgia's huge entertainment incentive system, where the broader program costs the state more than $1 billion a year and many jobs are project-based rather than permanent.",https://www.legis.ga.gov/legislation/61406 | https://www.audits.ga.gov/ReportSearch/download/30438,Medium
2025-2026 Regular,HB 475,"Income tax credit; film, gaming, video or digital production; revise a definition",Yea,Film / entertainment tax credits,"Revised definitions and administration for Georgia's film, gaming, video, or digital production credit, while preserving the broader transferable incentive structure.",Production companies and interactive entertainment firms seeking access to Georgia's entertainment tax-credit system.,No bill-specific estimate found. The broader film tax credit system was projected at $1.188 billion in FY 2026 in a DOAA-commissioned evaluation.,"Not the cleanest stand-alone attack, but it reinforces a pattern: Anavitarte kept voting to maintain and fine-tune one of Georgia's largest business incentive systems.",https://www.legis.ga.gov/legislation/70392 | https://www.audits.ga.gov/ReportSearch/download/30438,Medium
2021-2022 Regular,HB 469,Income tax; rehabilitation of historic structures; revise tax credits,Yea,Developer / real estate incentives,"Revised Georgia's historic rehabilitation tax-credit rules, including preapproval procedures and larger-value credits for certified structures. The enacted structure allowed credits of up to $5 million for many non-home projects, with higher-value treatment for some large job-creating projects.","Developers, commercial property owners, investors, and rehabilitation projects involving certified historic structures.",Cap-based program; no bill-specific fiscal note located in public sources reviewed.,"Useful developer-incentive example, especially when tied to a broader pattern of targeted credits for favored projects rather than broad-based tax fairness.",https://www.legis.ga.gov/legislation/59705 | https://dca.georgia.gov/community-assistance/historic-preservation/state-tax-incentives/state-income-tax-credit-program,Medium
2025-2026 Regular,HB 360,Revenue and taxation; rehabilitation of historic structures; revise tax credit,Yea,Developer / real estate incentives,Revised the historic rehabilitation credit so certain preapproved rehabilitations could claim a reduced credit in the taxable year when a certificate of occupancy is obtained.,Developers and owners of certified historic properties seeking more workable timing and access to the credit.,No bill-specific public estimate found.,"Another example of Anavitarte backing targeted developer tax preferences, even if the bill is more technical than headline-grabbing.",https://www.legis.ga.gov/legislation/70122 | https://dca.georgia.gov/community-assistance/historic-preservation/state-tax-incentives/state-income-tax-credit-program,Medium
2021-2022 Regular,HB 304,Revenue and taxation; medical equipment and supplies manufacturers and pharmaceutical and medicine manufacturers; provide tax credit,Yea,Industry-specific subsidies,Created a tax credit for qualifying medical equipment and supplies manufacturers and pharmaceutical and medicine manufacturers.,Selected manufacturers in the medical-equipment and pharmaceutical sectors.,No clear bill-specific fiscal estimate found in public sources reviewed.,"Clean corporate-credit example: this was a direct tax subsidy for selected manufacturers, not general tax relief.",https://www.legis.ga.gov/legislation/59345,High
2023-2024 Regular,HB 482,Income tax; tax credits for establishing or relocating quality jobs; provide clarification,Yea,Corporate tax credits,"Clarified eligibility rules for Georgia's quality jobs tax credit, ensuring that some otherwise tax-exempt entities could still benefit when they generate unrelated business income and establish or relocate qualifying jobs.",Employers using Georgia's quality jobs credit for expansions or relocations.,No bill-specific public estimate found.,"A secondary example. More technical than a splashy giveaway, but still a vote to preserve and clarify a business tax credit aimed at selected employers.",https://www.legis.ga.gov/legislation/64560,Medium
2021-2022 Regular,HB 1039,Income tax; expenditures on maintenance for Class III railroads; extend tax credit,Yea,Transportation / railroad / logistics incentives,Extended the income tax credit for expenditures on maintenance of railroad track owned or leased by Class III railroads.,Short-line freight railroads and businesses tied to their service corridors.,No clear bill-specific public estimate found.,Good targeted-logistics example: another renewal of an industry-specific credit rather than broad relief for working families.,https://www.legis.ga.gov/legislation/61390,High
