id,title,description,startDateTime,endDateTime,locationName,address,city,county,category,tags,cost,isFree,isKidFriendly,isOutdoor,sourceName,sourceUrl,originalUrl,imageUrl,status,confidenceScore,createdAt,updatedAt,lastSeenAt,sourceId
cmreilb6s0027d7hz7pbapqv0,Family Movie Night at Sara Babb Park,Bring lawn chairs and blankets for a family movie night with concessions and activities before sunset.,1783724400000,1783735200000,Sara Babb Park,1200 Babb Lake Road,Dallas,Paulding,FAMILY,"[""movie night"",""outdoor"",""summer""]",Free,1,1,1,Paulding County Parks calendar,https://paulding.gov/calendar.aspx?CID=62,https://paulding.gov/calendar.aspx?CID=62,,APPROVED,0.96,1783662487012,1783662487012,1783662487012,cmreilaql000gd7hz8ue7x08m
cmreilb6s0028d7hzya0dwfbu,Downtown Dallas Food Truck Friday,"A downtown evening with food trucks, live acoustic music, and kid-friendly lawn games.",1783807200000,1783819800000,Downtown Dallas Square,Main Street,Dallas,Paulding,FOOD_DRINK,"[""food trucks"",""live music"",""downtown""]",Free entry; pay for food,1,1,1,City of Dallas official events page,https://www.dallasga.gov/community/page/upcoming-events,https://www.dallasga.gov/community/page/upcoming-events,,APPROVED,0.92,1783662487012,1783662487012,1783662487012,cmreilanc0003d7hzpidg0a1o
cmreilb6s0029d7hzzm9l6ndm,Cedartown Library Summer Storytime,Weekly storytime for young readers with crafts and a simple take-home reading activity.,1783607400000,1783611000000,Cedartown Public Library,245 East Avenue,Cedartown,Polk,LIBRARY,"[""library"",""storytime"",""kids""]",Free,1,1,0,Downtown Cedartown events page,https://www.downtowncedartown.com/calendar-of-events-c1qeb,https://www.downtowncedartown.com/calendar-of-events-c1qeb,,APPROVED,0.88,1783662487012,1783662487012,1783662487012,cmreilapk000cd7hz3rj0smrq
cmreilb6s002ad7hzjmv4uhce,Hiram Community Cleanup Day,Volunteers will meet for a cleanup along major neighborhood corridors and the city park trail.,1784376000000,1784388600000,Hiram City Hall,217 Main Street,Hiram,Paulding,VOLUNTEER,"[""cleanup"",""community service"",""outdoor""]",Free,1,1,1,City of Hiram official site,https://www.cityofhiramga.gov/,https://www.cityofhiramga.gov/,,APPROVED,0.86,1783662487012,1783662487012,1783662487012,cmreilamk0000d7hzcfbda3la
cmreilb6s002bd7hz3km3e8iv,Rockmart Summer Concert on the Lawn,"An evening concert with local musicians, food vendors, and a family activity zone.",1784241000000,1784250000000,Rockmart Depot Park,118 North Marble Street,Rockmart,Polk,MUSIC,"[""concert"",""live music"",""outdoor""]",$5 suggested donation,0,1,1,City of Rockmart official site,https://www.rockmart-ga.gov/,https://www.rockmart-ga.gov/,,APPROVED,0.93,1783662487012,1783662487012,1783662487012,cmreilaoi0008d7hzz7837qzk
cmreilb6s002cd7hzq9ucbsa6,Woodstock Summer Street Fest,"A downtown evening with vendors, family activities, and live music throughout the district.",1784322000000,1784336400000,Downtown Woodstock,8588 Main Street,Woodstock,Cherokee,FESTIVAL,"[""downtown"",""vendors"",""family""]",Free,1,1,1,City of Woodstock special events,https://www.woodstockga.gov/your_government/departments/parks_and_recreation/special_events.php,https://www.woodstockga.gov/your_government/departments/parks_and_recreation/special_events.php,,APPROVED,0.82,1783662487012,1783662487012,1783662487012,cmreilaxl0017d7hzo9smjjlr
cmreilb6s002dd7hze1clxpdh,Marietta Square Art Walk,"An evening art walk with live music, gallery specials, and local food options around the square.",1783893600000,1783904400000,Marietta Square,Historic Marietta Square,Marietta,Cobb,MUSIC,"[""art walk"",""square"",""evening""]",Free,1,1,1,Visit Marietta events,https://visitmariettaga.com/events/,https://visitmariettaga.com/events/,,APPROVED,0.8,1783662487012,1783662487012,1783662487012,cmreilb1z001pd7hz701fom1y
cmreilb6s002ed7hzpr6oh1mm,The Mill Night Market,"A community night market with makers, food stalls, and live entertainment at The Mill on Etowah.",1784498400000,1784511000000,The Mill on Etowah,225 Reformation Parkway,Canton,Cherokee,FOOD_DRINK,"[""night market"",""makers"",""food""]",Free entry,1,1,0,The Mill on Etowah events,https://www.etowahmill.com/events,https://www.etowahmill.com/events,,APPROVED,0.79,1783662487012,1783662487012,1783662487012,cmreilb0h001jd7hz8gkngob2
cmreilb6s002fd7hz76wpimg2,Adairsville Depot Day,"A community day with heritage activities, food vendors, and family-friendly performances.",1784988000000,1785009600000,Downtown Adairsville,Public Square,Adairsville,Bartow,FAMILY,"[""heritage"",""vendors"",""family""]",Free,1,1,1,City of Adairsville events,https://www.adairsvillega.net/community/events/index.php,https://www.adairsvillega.net/community/events/index.php,,APPROVED,0.77,1783662487012,1783662487012,1783662487012,cmreilb0z001ld7hz6zynw0gv
cmreilb6s002gd7hzns56n2e7,Trivia Tuesday at Pizza Shack,A casual community trivia night with prizes for the top teams.,1784070000000,1784077200000,Pizza Shack,110 Elm Street,Rockmart,Polk,TRIVIA,"[""trivia"",""restaurant"",""team event""]",Free to play,1,0,0,Pizza Shack Facebook,https://www.facebook.com/,https://www.facebook.com/,,PENDING,0.56,1783662487012,1783662487012,1783662487012,cmreilat6000qd7hz5qij1y0u
cmreku5c40001d7olynnnv44g,New Event Test,Test for new events,1784256600000,1784861400000,The Pool,121,Acworth,Paulding,OTHER,"[""pool"",""kids"",""water""]",,1,1,0,Manual admin entry,/admin,/admin,,APPROVED,1.0,1783666258564,1783666258564,1783666258564,
